root@vmi1445488:/var/www/pointify# pm2 ls
┌────┬────────────────────────┬─────────────┬─────────┬─────────┬──────────┬────────┬──────┬───────────┬──────────┬──────────┬──────────┬──────────┐
│ id │ name                   │ namespace   │ version │ mode    │ pid      │ uptime │ ↺    │ status    │ cpu      │ mem      │ user     │ watching │
├────┼────────────────────────┼─────────────┼─────────┼─────────┼──────────┼────────┼──────┼───────────┼──────────┼──────────┼──────────┼──────────┤
│ 0  │ app                    │ default     │ 0.0.0   │ fork    │ 7716     │ 4D     │ 2    │ online    │ 0%       │ 220.8mb  │ root     │ disabled │
│ 8  │ app                    │ default     │ 1.0.0   │ fork    │ 7704     │ 4D     │ 8    │ online    │ 0%       │ 275.2mb  │ root     │ disabled │
│ 9  │ app                    │ default     │ 1.0.0   │ fork    │ 326187   │ 13m    │ 4    │ online    │ 0%       │ 138.6mb  │ root     │ disabled │
│ 11 │ pointify-admin         │ default     │ 1.0.0   │ fork    │ 316680   │ 109m   │ 0    │ online    │ 0%       │ 105.2mb  │ root     │ disabled │
│ 1  │ pointify-web           │ default     │ N/A     │ fork    │ 328454   │ 3m     │ 7    │ online    │ 0%       │ 91.0mb   │ root     │ disabled │
│ 10 │ pointify-website       │ default     │ N/A     │ fork    │ 739      │ 4D     │ 0    │ online    │ 0%       │ 96.4mb   │ root     │ disabled │
│ 7  │ reggycodas             │ default     │ 1.0.0   │ fork    │ 673      │ 4D     │ 0    │ online    │ 0%       │ 109.1mb  │ root     │ disabled │
│ 5  │ sunpay                 │ default     │ 1.0.0   │ fork    │ 661      │ 4D     │ 0    │ online    │ 0%       │ 89.7mb   │ root     │ disabled │
│ 6  │ tokshop-admin          │ default     │ 1.0.0   │ cluster │ 659      │ 4D     │ 0    │ online    │ 0%       │ 122.3mb  │ root     │ disabled │
│ 4  │ tokshop-doc-web        │ default     │ 1.0.0   │ fork    │ 652      │ 4D     │ 0    │ online    │ 0%       │ 100.4mb  │ root     │ disabled │
│ 2  │ tokshop-marketplace    │ default     │ 1.0.0   │ cluster │ 635      │ 4D     │ 0    │ online    │ 0%       │ 124.1mb  │ root     │ disabled │
